Year,Team,Pace,ORtg,DRtg,NRtg,TS%,eFG%,TOV%,ORB%,FT/FGA
1989,Sacramento Kings,100.5,104.5,110.0,-5.5,0.523,0.496,13.2,30.5,0.235
1989,New Jersey Nets,100.1,103.0,109.3,-6.3,0.517,0.508,14.4,32.7,0.244
1989,San Antonio Spurs,104.1,100.9,107.9,-7.0,0.512,0.5,17.2,34.5,0.294
1989,Charlotte Hornets,100.3,103.7,112.1,-8.4,0.514,0.508,14.7,30.3,0.287
1989,Los Angeles Clippers,104.4,100.8,110.2,-9.4,0.518,0.497,14.1,31.2,0.237
1989,Miami Heat,99.1,97.8,109.0,-11.2,0.498,0.499,16.0,35.6,0.292
1990,Los Angeles Lakers,96.3,114.0,107.0,7.0,0.562,0.479,12.8,32.8,0.219
1990,Phoenix Suns,100.7,113.1,106.2,6.9,0.565,0.478,12.8,31.1,0.209
1990,Detroit Pistons,94.4,109.9,103.5,6.4,0.537,0.461,13.7,34.2,0.262
1990,Portland Trail Blazers,102.3,110.5,104.4,6.1,0.535,0.479,15.2,36.5,0.265
1990,Philadelphia 76ers,96.5,113.5,108.4,5.1,0.556,0.495,13.3,32.0,0.223
1990,Utah Jazz,96.1,110.3,105.4,4.9,0.57,0.468,13.4,30.1,0.268
1990,Boston Celtics,98.2,112.0,107.9,4.1,0.557,0.477,10.8,31.5,0.223
1990,San Antonio Spurs,98.5,107.7,104.2,3.5,0.537,0.477,15.0,34.2,0.235
1990,Chicago Bulls,96.7,112.3,109.0,3.3,0.559,0.508,15.2,31.9,0.262
1990,Houston Rockets,101.2,104.8,103.4,1.4,0.531,0.475,14.7,33.1,0.228
1990,New York Knicks,98.2,109.4,108.0,1.4,0.547,0.482,13.3,34.2,0.215
1990,Denver Nuggets,105.4,108.0,106.7,1.3,0.523,0.501,15.2,29.1,0.264
1990,Seattle SuperSonics,95.3,110.9,109.8,1.1,0.535,0.499,14.3,37.5,0.297
1990,Atlanta Hawks,95.8,113.0,111.9,1.1,0.547,0.509,14.0,36.3,0.254
1990,Indiana Pacers,97.0,111.5,111.4,0.1,0.572,0.494,12.6,29.0,0.25
1990,Dallas Mavericks,94.5,107.2,107.2,0.0,0.536,0.481,13.4,30.3,0.232
1990,Cleveland Cavaliers,95.0,106.9,107.2,-0.3,0.529,0.49,14.0,31.5,0.202
1990,Milwaukee Bucks,98.0,107.3,108.1,-0.8,0.533,0.492,15.8,31.5,0.29
1990,Washington Bullets,99.4,107.5,109.7,-2.2,0.519,0.484,12.4,32.4,0.249
1990,Golden State Warriors,105.9,109.6,112.6,-3.0,0.563,0.494,13.6,26.1,0.253
1990,Los Angeles Clippers,99.2,104.0,107.4,-3.4,0.536,0.489,14.3,30.9,0.241
1990,Minnesota Timberwolves,91.1,103.6,108.2,-4.6,0.499,0.492,15.5,34.0,0.291
1990,Sacramento Kings,96.7,104.8,110.0,-5.2,0.527,0.484,12.5,27.3,0.255
1990,New Jersey Nets,99.3,100.7,108.6,-7.9,0.486,0.495,14.9,34.5,0.272
1990,Charlotte Hornets,98.1,102.0,109.9,-7.9,0.511,0.506,14.7,26.1,0.269
1990,Orlando Magic,104.1,105.8,114.3,-8.5,0.521,0.511,12.1,33.7,0.245
1990,Miami Heat,101.0,99.3,108.9,-9.6,0.501,0.499,15.2,33.5,0.292
1991,Chicago Bulls,95.6,114.6,105.2,9.4,0.56,0.488,15.3,34.7,0.226
1991,Portland Trail Blazers,100.5,112.8,104.3,8.5,0.554,0.473,14.4,33.8,0.25
1991,Los Angeles Lakers,94.1,112.1,105.0,7.1,0.551,0.474,12.8,33.0,0.176
1991,Phoenix Suns,101.0,112.6,106.1,6.5,0.558,0.474,13.1,33.0,0.227
1991,Boston Celtics,98.5,112.6,106.7,5.9,0.565,0.465,11.7,33.0,0.217
1991,San Antonio Spurs,98.6,107.8,103.3,4.5,0.544,0.463,13.2,33.3,0.228
1991,Detroit Pistons,91.9,108.2,104.6,3.6,0.523,0.464,12.8,34.7,0.248
1991,Utah Jazz,95.3,108.6,105.1,3.5,0.559,0.473,13.7,27.6,0.23
1991,Houston Rockets,98.5,107.4,103.9,3.5,0.53,0.469,14.7,34.4,0.22
1991,Milwaukee Bucks,96.1,109.7,107.2,2.5,0.55,0.5,16.4,31.8,0.259
1991,Golden State Warriors,103.6,111.9,110.3,1.6,0.559,0.497,15.2,31.0,0.289
1991,Seattle SuperSonics,96.2,109.7,108.5,1.2,0.542,0.503,16.0,36.3,0.277
1991,Atlanta Hawks,98.6,110.9,110.1,0.8,0.54,0.509,13.7,33.1,0.22
1991,New York Knicks,95.0,107.1,107.3,-0.2,0.544,0.489,13.4,31.1,0.205
1991,Philadelphia 76ers,95.7,107.9,108.1,-0.2,0.542,0.489,12.5,28.1,0.187
1991,Indiana Pacers,99.4,111.7,112.1,-0.4,0.566,0.503,13.1,30.6,0.254
1991,Cleveland Cavaliers,95.1,106.1,108.7,-2.6,0.534,0.497,13.3,29.7,0.206
1991,Los Angeles Clippers,99.9,103.0,106.5,-3.5,0.511,0.481,13.7,33.3,0.266
1991,Orlando Magic,99.5,105.9,109.9,-4.0,0.521,0.493,12.8,33.0,0.26
1991,Minnesota Timberwolves,92.3,106.7,110.9,-4.2,0.499,0.502,13.8,34.9,0.248
1991,New Jersey Nets,99.3,102.9,107.4,-4.5,0.5,0.478,14.9,35.7,0.267
