Year,Team,TS%,eFG%,FT/FGA,ORtg
1996,Milwaukee Bucks,0.534,0.52,0.248,105.6
1996,Toronto Raptors,0.536,0.514,0.272,103.8
1996,Philadelphia 76ers,0.522,0.522,0.217,102.2
1996,Vancouver Grizzlies,0.5,0.51,0.241,97.6
1997,Chicago Bulls*,0.547,0.471,0.196,114.4
1997,Utah Jazz*,0.581,0.48,0.29,113.6
1997,Seattle SuperSonics*,0.557,0.49,0.242,111.2
1997,Atlanta Hawks*,0.542,0.472,0.191,108.5
1997,Miami Heat*,0.546,0.465,0.248,106.8
1997,Detroit Pistons*,0.554,0.487,0.197,110.6
1997,Houston Rockets*,0.56,0.481,0.19,108.8
1997,Los Angeles Lakers*,0.535,0.478,0.231,108.3
1997,Portland Trail Blazers*,0.544,0.471,0.268,107.9
1997,New York Knicks*,0.546,0.463,0.279,104.4
1997,Cleveland Cavaliers,0.531,0.482,0.281,104.6
1997,Charlotte Hornets*,0.562,0.496,0.204,110.9
1997,Washington Bullets*,0.54,0.491,0.226,106.6
1997,Indiana Pacers,0.537,0.48,0.258,105.8
1997,Phoenix Suns*,0.552,0.507,0.215,109.3
1997,Orlando Magic*,0.524,0.495,0.211,105.6
1997,Minnesota Timberwolves*,0.533,0.486,0.252,105.5
1997,Milwaukee Bucks,0.541,0.501,0.253,106.2
1997,Los Angeles Clippers*,0.524,0.499,0.269,105.1
1997,Toronto Raptors,0.521,0.504,0.258,104.6
1997,Sacramento Kings,0.526,0.495,0.264,105.0
1997,New Jersey Nets,0.499,0.503,0.244,104.7
1997,Golden State Warriors,0.543,0.518,0.234,107.2
1997,Denver Nuggets,0.53,0.501,0.206,104.5
1997,Philadelphia 76ers,0.518,0.51,0.222,104.6
1997,Dallas Mavericks,0.509,0.5,0.229,101.1
1997,Boston Celtics,0.52,0.539,0.243,103.9
1997,San Antonio Spurs,0.512,0.514,0.236,103.3
1997,Vancouver Grizzlies,0.507,0.51,0.224,100.3
1998,Los Angeles Lakers*,0.559,0.467,0.245,111.9
1998,Seattle SuperSonics*,0.558,0.478,0.223,111.6
1998,Chicago Bulls*,0.516,0.457,0.22,107.7
1998,Utah Jazz*,0.569,0.471,0.271,112.7
1998,Indiana Pacers*,0.55,0.453,0.236,108.4
1998,Phoenix Suns*,0.54,0.471,0.227,107.4
1998,Miami Heat*,0.538,0.452,0.257,107.6
1998,San Antonio Spurs*,0.531,0.437,0.218,103.8
1998,Atlanta Hawks*,0.533,0.468,0.194,108.2
1998,Cleveland Cavaliers*,0.529,0.46,0.264,102.1
1998,New York Knicks*,0.521,0.455,0.282,103.0
1998,Charlotte Hornets*,0.542,0.493,0.224,107.5
1998,Detroit Pistons,0.523,0.474,0.243,105.3
1998,New Jersey Nets*,0.513,0.499,0.258,108.3
1998,Portland Trail Blazers*,0.524,0.46,0.249,104.0
